Gene stable ID	Gene name	AFFY Zebrafish probe
ENSDARG00000092310	si:ch211-199g17.2	Dr.26130.1.S1_at
ENSDARG00000068214	ccni	Dr.10085.2.S1_a_at
ENSDARG00000070452	saraf	Dr.11537.2.S1_at
ENSDARG00000060312	wdr62	Dr.365.1.A1_at
ENSDARG00000060312	wdr62	Dr.16585.1.S1_at
ENSDARG00000078381	trip11	Dr.2512.1.A1_at
ENSDARG00000015805	cgnl1	Dr.16276.1.A1_at
ENSDARG00000095432	BX323074.2	Dr.13121.2.A1_at
ENSDARG00000095432	BX323074.2	Dr.13121.2.A1_x_at
ENSDARG00000019038	sgsm3	Dr.411.1.A1_at
ENSDARG00000062016	vps51	Dr.6128.1.A1_at
ENSDARG00000102889	sept15	Dr.13341.1.S1_at
ENSDARG00000060312	wdr62	Dr.365.1.A1_at
ENSDARG00000060312	wdr62	Dr.16585.1.S1_at
ENSDARG00000102889	sept15	Dr.13341.1.S1_at
ENSDARG00000016771	tfa	Dr.1889.1.S1_at
ENSDARG00000042796	yy1a	Dr.812.1.A1_at
ENSDARG00000007275	si:ch211-251b21.1	Dr.3211.1.A1_at
ENSDARG00000045900	agbl5	Dr.10964.1.A1_at
ENSDARG00000007275	si:ch211-251b21.1	Dr.3211.1.A1_at
ENSDARG00000102889	sept15	Dr.13341.1.S1_at
ENSDARG00000103388	znf609a	Dr.25738.2.A1_at
ENSDARG00000008732	zgc:66479	Dr.17068.1.A1_at
ENSDARG00000016771	tfa	Dr.1889.1.S1_at
ENSDARG00000078381	trip11	Dr.2512.1.A1_at
ENSDARG00000096118	ost4	Dr.3785.1.S1_at
ENSDARG00000038064	chmp3	Dr.8757.1.A1_at
ENSDARG00000008904	smarca2	Dr.859.1.S1_at
ENSDARG00000103218	BX927130.3	Dr.14245.1.S1_at
ENSDARG00000038064	chmp3	Dr.8757.1.A1_at
ENSDARG00000063167	chkb	Dr.9161.1.A1_at
ENSDARG00000008904	smarca2	Dr.859.1.S1_at
ENSDARG00000003017	ube2al	Dr.4620.1.S1_at
ENSDARG00000063167	chkb	Dr.9161.1.A1_at
ENSDARG00000019856	atp1a1b	Dr.7840.1.S1_at
ENSDARG00000003017	ube2al	Dr.4620.1.S1_at
ENSDARG00000063167	chkb	Dr.9161.1.A1_at
ENSDARG00000035741	slc25a11	Dr.661.1.S1_at
ENSDARG00000035741	slc25a11	Dr.25575.1.A1_at
ENSDARG00000044691	ppp1r3b	Dr.4453.1.S1_at
ENSDARG00000103950	pcdh1gc6	Dr.8598.1.A1_at
ENSDARG00000078500	dap3	Dr.12877.1.S1_at
ENSDARG00000044691	ppp1r3b	Dr.4453.1.S1_at
ENSDARG00000035741	slc25a11	Dr.661.1.S1_at
ENSDARG00000088475	pcdh1gb9	Dr.8598.1.A1_at
ENSDARG00000011373	mknk2a	Dr.6680.1.S1_at
ENSDARG00000044691	ppp1r3b	Dr.4453.1.S1_at
ENSDARG00000036335	c1galt1c1	Dr.3904.1.A1_at
ENSDARG00000044691	ppp1r3b	Dr.4453.1.S1_at
ENSDARG00000058366	si:dkey-222f8.3	Dr.5186.1.A1_at
ENSDARG00000011373	mknk2a	Dr.6680.1.S1_at
ENSDARG00000058366	si:dkey-222f8.3	Dr.5186.1.A1_at
ENSDARG00000009401	vcanb	Dr.4338.1.A1_at
ENSDARG00000058366	si:dkey-222f8.3	Dr.5186.1.A1_at
ENSDARG00000001442	inppl1b	Dr.21368.1.A1_at
ENSDARG00000053912	fbl	Dr.3347.1.S1_at
ENSDARG00000053912	fbl	Dr.3347.1.S1_at
ENSDARG00000016871	smarce1	Dr.756.1.S1_at
ENSDARG00000088030	rpl35a	Dr.1432.1.S1_a_at
ENSDARG00000001442	inppl1b	Dr.21368.1.A1_at
ENSDARG00000088030	rpl35a	Dr.1432.1.S1_a_at
ENSDARG00000088030	rpl35a	Dr.1432.1.S1_a_at
ENSDARG00000023396	atg5	Dr.12686.1.A1_at
ENSDARG00000023396	atg5	Dr.12686.2.S1_at
ENSDARG00000016871	smarce1	Dr.756.1.S1_at
ENSDARG00000088030	rpl35a	Dr.1432.1.S1_a_at
ENSDARG00000055647	ftr82	Dr.5037.1.A1_at
ENSDARG00000088030	rpl35a	Dr.1432.1.S1_a_at
ENSDARG00000077967	si:ch211-140m22.7	Dr.6353.1.A1_at
ENSDARG00000023396	atg5	Dr.12686.1.A1_at
ENSDARG00000023396	atg5	Dr.12686.2.S1_at
ENSDARG00000025340	tusc2b	Dr.761.1.A1_at
ENSDARG00000103811	agla	Dr.22801.1.A1_at
ENSDARG00000093622	spc24	Dr.15855.1.A1_at
ENSDARG00000002613	rpa3	Dr.21051.1.S1_at
ENSDARG00000015543	s100a1	Dr.13960.1.S1_at
ENSDARG00000103811	agla	Dr.22801.1.A1_at
ENSDARG00000028581	jkamp	Dr.9222.1.A1_at
ENSDARG00000103811	agla	Dr.22801.1.A1_at
ENSDARG00000103922	bod1	Dr.3492.1.A1_at
ENSDARG00000016773	cishb	Dr.16100.1.S1_at
ENSDARG00000096562	wu:fj29h11	Dr.26346.1.A1_at
ENSDARG00000096562	wu:fj29h11	Dr.22633.1.S1_at
ENSDARG00000076169	pold3	Dr.25641.1.A1_at
ENSDARG00000077967	si:ch211-140m22.7	Dr.6353.1.A1_at
ENSDARG00000103811	agla	Dr.22801.1.A1_at
ENSDARG00000096562	wu:fj29h11	Dr.26346.1.A1_at
ENSDARG00000096562	wu:fj29h11	Dr.22633.1.S1_at
ENSDARG00000071018	ptena	Dr.3889.1.A1_at
ENSDARG00000071018	ptena	Dr.17113.1.A1_a_at
ENSDARG00000101277	znf207b	Dr.3517.1.S1_at
ENSDARG00000077926	si:dkey-48p11.3	Dr.11832.1.S1_at
ENSDARG00000015681	gsk3ab	Dr.259.1.S1_at
ENSDARG00000071018	ptena	Dr.3889.1.A1_at
ENSDARG00000071018	ptena	Dr.17113.1.A1_a_at
ENSDARG00000016773	cishb	Dr.16100.1.S1_at
ENSDARG00000058451	rpl6	Dr.284.3.S1_a_at
ENSDARG00000076169	pold3	Dr.25641.1.A1_at
ENSDARG00000101277	znf207b	Dr.3517.1.S1_at
ENSDARG00000058451	rpl6	Dr.284.3.S1_a_at
ENSDARG00000044136	rab3gap2	Dr.21215.1.S1_at
ENSDARG00000074289	tuba4l	Dr.23436.1.S1_at
ENSDARG00000015681	gsk3ab	Dr.259.1.S1_at
ENSDARG00000071018	ptena	Dr.17113.1.A1_a_at
ENSDARG00000013653	adgrl4	Dr.3375.1.A1_at
ENSDARG00000058451	rpl6	Dr.284.3.S1_a_at
ENSDARG00000101277	znf207b	Dr.3517.1.S1_at
ENSDARG00000044136	rab3gap2	Dr.21215.1.S1_at
ENSDARG00000071018	ptena	Dr.3889.1.A1_at
ENSDARG00000071018	ptena	Dr.17113.1.A1_a_at
ENSDARG00000013653	adgrl4	Dr.3375.1.A1_at
ENSDARG00000004840	rassf1	Dr.9366.1.A1_at
ENSDARG00000004840	rassf1	Dr.9366.1.A1_at
ENSDARG00000055715	capn8	Dr.22670.1.A1_at
ENSDARG00000026862	aktip	Dr.8815.1.S1_at
ENSDARG00000010420	ndrg1b	Dr.8090.1.A1_at
ENSDARG00000044136	rab3gap2	Dr.21215.1.S1_at
ENSDARG00000004840	rassf1	Dr.9366.1.A1_at
ENSDARG00000026862	aktip	Dr.8815.1.S1_at
ENSDARG00000055715	capn8	Dr.22670.1.A1_at
ENSDARG00000102998	taf6	Dr.2070.1.A1_at
ENSDARG00000044136	rab3gap2	Dr.21215.1.S1_at
ENSDARG00000094878	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000105592	CR936442.1	Dr.7956.1.S2_at
ENSDARG00000077852	samd11	Dr.11161.1.A1_at
ENSDARG00000099510	cnn3a	Dr.22283.1.S1_at
ENSDARG00000026862	aktip	Dr.8815.1.S1_at
ENSDARG00000094878	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000095314	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000025904	tecrb	Dr.14208.1.A1_s_at
ENSDARG00000025904	tecrb	Dr.26496.1.S1_at
ENSDARG00000102998	taf6	Dr.2070.1.A1_at
ENSDARG00000095314	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000095314	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000103340	clic1	Dr.1735.1.A1_at
ENSDARG00000025904	tecrb	Dr.14208.1.A1_s_at
ENSDARG00000025904	tecrb	Dr.14208.1.A1_at
ENSDARG00000025904	tecrb	Dr.26496.1.S1_at
ENSDARG00000016536	npas2	Dr.24959.1.S1_at
ENSDARG00000075687	anapc1	Dr.7849.1.A1_at
ENSDARG00000104186	fbxo43	Dr.25374.1.A1_a_at
ENSDARG00000069672	tyw5	Dr.17150.1.S1_at
ENSDARG00000069672	tyw5	Dr.14896.1.S1_at
ENSDARG00000016536	npas2	Dr.24959.1.S1_at
ENSDARG00000104186	fbxo43	Dr.25374.1.A1_a_at
ENSDARG00000075687	anapc1	Dr.7849.1.A1_at
ENSDARG00000061040	pum2	Dr.17995.1.A1_at
ENSDARG00000034933	chchd3b	Dr.23899.1.A1_at
ENSDARG00000104186	fbxo43	Dr.25374.1.A1_a_at
ENSDARG00000069672	tyw5	Dr.17150.1.S1_at
ENSDARG00000069672	tyw5	Dr.14896.1.S1_at
ENSDARG00000069672	tyw5	Dr.17150.1.S1_at
ENSDARG00000069672	tyw5	Dr.14896.1.S1_at
ENSDARG00000060280	pde9a	Dr.20838.1.A1_at
ENSDARG00000018914	hnrnpk	Dr.24995.3.A1_at
ENSDARG00000089791	slc25a32a	Dr.14169.1.A1_at
ENSDARG00000061040	pum2	Dr.17995.1.A1_at
ENSDARG00000034933	chchd3b	Dr.23899.1.A1_at
ENSDARG00000060280	pde9a	Dr.20838.1.A1_at
ENSDARG00000069409	gkup	Dr.14992.1.A1_at
ENSDARG00000060280	pde9a	Dr.20838.1.A1_at
ENSDARG00000034933	chchd3b	Dr.23899.1.A1_at
ENSDARG00000087331	si:dkey-77f5.3	Dr.7238.1.A1_at
ENSDARG00000087331	si:dkey-77f5.3	Dr.7238.1.A1_at
ENSDARG00000092061	si:dkey-112g5.13	Dr.18644.1.A1_at
ENSDARG00000092061	si:dkey-112g5.13	Dr.18644.1.A1_at
ENSDARG00000012682	pfn2l	Dr.25678.1.S1_at
ENSDARG00000069409	gkup	Dr.14992.1.A1_at
ENSDARG00000018914	hnrnpk	Dr.24995.3.A1_at
ENSDARG00000086826	sult6b1	Dr.3583.1.S1_at
ENSDARG00000012682	pfn2l	Dr.25678.1.S1_at
ENSDARG00000018914	hnrnpk	Dr.24995.3.A1_at
ENSDARG00000092133	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000092133	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000092133	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000102728	CU856518.1	Dr.26063.1.S1_at
ENSDARG00000017591	fat1a	Dr.21842.1.S1_at
ENSDARG00000056167	hspe1	Dr.11312.1.S1_at
ENSDARG00000018914	hnrnpk	Dr.24995.3.A1_at
ENSDARG00000095687	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000018914	hnrnpk	Dr.24995.3.A1_at
ENSDARG00000056167	hspe1	Dr.11312.1.S1_at
ENSDARG00000095687	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000056167	hspe1	Dr.11312.1.S1_at
ENSDARG00000056167	hspe1	Dr.11312.1.S1_at
ENSDARG00000092061	si:dkey-112g5.13	Dr.18644.1.A1_at
ENSDARG00000070828	actl6a	Dr.1969.1.S1_at
ENSDARG00000022968	fxr1	Dr.4820.1.S1_at
ENSDARG00000018923	fat2	Dr.15384.1.A1_at
ENSDARG00000075639	si:ch211-89o9.6	Dr.10049.1.A1_at
ENSDARG00000022968	fxr1	Dr.4820.1.S1_at
ENSDARG00000102728	CU856518.1	Dr.26063.1.S1_at
ENSDARG00000022968	fxr1	Dr.4820.1.S1_at
ENSDARG00000102728	CU856518.1	Dr.26063.1.S1_at
ENSDARG00000017591	fat1a	Dr.21842.1.S1_at
ENSDARG00000070828	actl6a	Dr.1969.1.S1_at
ENSDARG00000011533	sema6dl	Dr.15046.1.A1_at
ENSDARG00000011515	orai1a	Dr.25880.1.A1_at
ENSDARG00000059707	ZNF423	Dr.16247.1.A1_at
ENSDARG00000102728	CU856518.1	Dr.26063.1.S1_at
ENSDARG00000087229	exoc7	Dr.7920.1.S1_at
ENSDARG00000102728	CU856518.1	Dr.26063.1.S1_at
ENSDARG00000095732	znf423	Dr.16247.1.A1_at
ENSDARG00000022623	fbxo44	Dr.3644.2.S1_at
ENSDARG00000022623	fbxo44	Dr.3644.1.A1_at
ENSDARG00000095732	znf423	Dr.16247.1.A1_at
ENSDARG00000015206	hnrnpua	Dr.22258.1.A1_at
ENSDARG00000022623	fbxo44	Dr.3644.2.S1_at
ENSDARG00000015206	hnrnpua	Dr.22258.1.A1_at
ENSDARG00000011400	tnnc1a	Dr.25329.1.S1_at
ENSDARG00000035573		Dr.13731.1.S1_at
ENSDARG00000094749	si:dkey-84o3.2	Dr.18644.1.A1_at
ENSDARG00000031261	sap30bp	Dr.3484.1.S1_at
ENSDARG00000002172	aplnra	Dr.20800.1.A1_at
ENSDARG00000087229	exoc7	Dr.7920.1.S1_at
ENSDARG00000087229	exoc7	Dr.7920.1.S1_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_a_at
ENSDARG00000087229	exoc7	Dr.7920.1.S1_at
ENSDARG00000031261	sap30bp	Dr.3484.1.S1_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_a_at
ENSDARG00000019420	etnk1	Dr.2912.1.A1_at
ENSDARG00000087229	exoc7	Dr.7920.1.S1_at
ENSDARG00000034211		Dr.1945.2.S1_at
ENSDARG00000034211		Dr.1945.1.A1_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_a_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_a_at
ENSDARG00000087229	exoc7	Dr.7920.1.S1_at
ENSDARG00000019420	etnk1	Dr.2912.1.A1_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_a_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_at
ENSDARG00000059131	spdya	Dr.15895.1.S1_a_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000069763	etv5a	Dr.23024.1.A1_at
ENSDARG00000069763	etv5a	Dr.11545.1.S1_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.2.S1_at
ENSDARG00000060849	dlgap4a	Dr.10024.1.A1_at
ENSDARG00000070138	si:dkey-84o3.3	Dr.18644.1.A1_at
ENSDARG00000055291	rab18a	Dr.5298.1.A1_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000000857	mapk14a	Dr.7930.1.S1_at
ENSDARG00000099635	akap8l	Dr.4105.1.A1_at
ENSDARG00000039098	ca8	Dr.25459.1.A1_at
ENSDARG00000041870	ift172	Dr.19771.1.A1_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000044267	sumo1	Dr.5426.1.A1_at
ENSDARG00000070138	si:dkey-84o3.3	Dr.18644.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.2.S1_at
ENSDARG00000060849	dlgap4a	Dr.10024.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.2.S1_at
ENSDARG00000060849	dlgap4a	Dr.10024.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.1.A1_at
ENSDARG00000060849	dlgap4a	Dr.13028.2.S1_at
ENSDARG00000041581	znf143b	Dr.15217.1.A1_at
ENSDARG00000034211		Dr.1945.1.A1_at
ENSDARG00000069763	etv5a	Dr.23024.1.A1_at
ENSDARG00000069763	etv5a	Dr.11545.1.S1_at
ENSDARG00000056160	hspd1	Dr.7108.1.S1_at
ENSDARG00000041581	znf143b	Dr.15217.1.A1_at
ENSDARG00000060515	zdhhc9	Dr.25688.1.A1_at
ENSDARG00000044073	fuca2	Dr.9255.1.A1_at
ENSDARG00000101744	hug	Dr.4230.1.S1_a_at
ENSDARG00000056160	hspd1	Dr.7108.1.S1_at
ENSDARG00000041581	znf143b	Dr.15217.1.A1_at
ENSDARG00000098368	aplp1	Dr.11064.1.A1_at
ENSDARG00000098368	aplp1	Dr.11064.1.A1_at
ENSDARG00000101744	hug	Dr.4230.1.S1_a_at
ENSDARG00000003769	tada2b	Dr.7249.1.A1_at
ENSDARG00000003769	tada2b	Dr.4232.1.A1_at
ENSDARG00000079175	si:ch211-79k12.1	Dr.7619.1.A1_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000063580	si:ch1073-219n12.1	Dr.3757.1.A1_at
ENSDARG00000010481	bzw1a	Dr.25498.1.S1_at
ENSDARG00000034211		Dr.10119.1.A1_at
ENSDARG00000061233	abcc5	Dr.6419.1.A1_at
ENSDARG00000061656	ptpdc1a	Dr.13445.1.A1_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000034211		Dr.1945.2.S1_at
ENSDARG00000034211		Dr.1945.1.A1_at
ENSDARG00000044852	wbp2nl	Dr.8749.1.S1_a_at
ENSDARG00000017703	paqr3a	Dr.12635.1.A1_at
ENSDARG00000017703	paqr3a	Dr.12635.2.S1_at
ENSDARG00000019998	slc30a7	Dr.18412.1.S1_at
ENSDARG00000093963	si:dkey-112g5.12	Dr.18644.1.A1_at
ENSDARG00000039125	map4k5	Dr.4000.1.S1_at
ENSDARG00000068516	hapln1b	Dr.8617.1.A1_at
ENSDARG00000069037	akip1	Dr.16809.1.S1_at
ENSDARG00000070589	mrpl35	Dr.15585.1.S1_at
ENSDARG00000069037	akip1	Dr.16809.1.S1_at
ENSDARG00000038281	natd1	Dr.16804.1.A1_at
ENSDARG00000038281	natd1	Dr.17879.1.S1_at
ENSDARG00000094236	si:dkey-112g5.15	Dr.18644.1.A1_at
ENSDARG00000039125	map4k5	Dr.4000.1.S1_at
ENSDARG00000041493	ipo4	Dr.15165.2.A1_at
ENSDARG00000041493	ipo4	Dr.15165.2.A1_at
ENSDARG00000094236	si:dkey-112g5.15	Dr.18644.1.A1_at
ENSDARG00000039125	map4k5	Dr.4000.1.S1_at
ENSDARG00000041723		Dr.2813.1.S1_at
ENSDARG00000070454	pla2g12a	Dr.20271.1.S1_at
ENSDARG00000070454	pla2g12a	Dr.20271.1.S1_at
ENSDARG00000018121	cenpj	Dr.18241.1.A1_at
ENSDARG00000009480	pdcl	Dr.18716.1.A1_at
ENSDARG00000009480	pdcl	Dr.18716.1.A1_at
ENSDARG00000041951	selo	Dr.8850.1.A1_at
ENSDARG00000035869	azin1b	Dr.7804.2.A1_at
ENSDARG00000035869	azin1b	Dr.7804.1.S1_at
ENSDARG00000015709	hsd17b12a	Dr.9000.1.S1_at
ENSDARG00000035869	azin1b	Dr.7804.1.S1_at
ENSDARG00000001825	cfap43	Dr.13383.2.A1_at
ENSDARG00000077986	TMEM151A	Dr.22742.1.A1_at
ENSDARG00000001825	cfap43	Dr.13383.2.A1_at
ENSDARG00000043554	mrpl40	Dr.12851.1.S1_at
ENSDARG00000078348	tcf20	Dr.13830.1.A1_at
ENSDARG00000078348	tcf20	Dr.13830.1.A1_at
ENSDARG00000015709	hsd17b12a	Dr.9000.1.S1_at
ENSDARG00000052124	accs	Dr.346.1.A1_at
ENSDARG00000009610	rgs12a	Dr.21449.1.S1_at
ENSDARG00000021974	sfr1	Dr.13383.1.S1_at
ENSDARG00000015709	hsd17b12a	Dr.9000.1.S1_at
ENSDARG00000052124	accs	Dr.346.1.A1_at
ENSDARG00000021974	sfr1	Dr.13383.1.S1_at
ENSDARG00000069909	HTRA2 (1 of many)	Dr.18644.1.A1_at
ENSDARG00000056387	rnf17	Dr.11408.1.A1_at
ENSDARG00000052124	accs	Dr.346.1.A1_at
ENSDARG00000094324	efemp2a	Dr.3483.1.A1_at
ENSDARG00000094324	efemp2a	Dr.4887.1.A1_at
ENSDARG00000056387	rnf17	Dr.11408.1.A1_at
ENSDARG00000056387	rnf17	Dr.11408.1.A1_at
ENSDARG00000038881	acaa2	Dr.5520.1.S1_at
ENSDARG00000012674	rpusd4	Dr.22105.1.A1_at
ENSDARG00000060395	si:dkey-57k2.7	Dr.9463.1.A1_at
ENSDARG00000068886	mrpl14	Dr.18377.1.S1_at
ENSDARG00000092086	CR318650.1	Dr.17635.1.A1_at
ENSDARG00000055723	hsp70l	Dr.20198.1.S1_a_at
ENSDARG00000055723	hsp70l	Dr.20198.2.S1_x_at
ENSDARG00000060395	si:dkey-57k2.7	Dr.9463.1.A1_at
ENSDARG00000010047	neu3.2	Dr.16670.1.S1_at
ENSDARG00000018882	jak2b	Dr.8116.1.S1_at
ENSDARG00000103306	BX927130.4	Dr.3197.2.S1_at
